,Word,Frequency,percent
515,chance,11,0.3418272218769422
514,least,11,0.3418272218769422
523,knew,11,0.3418272218769422
516,wonder,11,0.3418272218769422
517,top,11,0.3418272218769422
518,city,11,0.3418272218769422
519,security,11,0.3418272218769422
520,san,11,0.3418272218769422
521,set,11,0.3418272218769422
522,find,11,0.3418272218769422
524,choice,11,0.3418272218769422
525,early,11,0.3418272218769422
527,may,11,0.3418272218769422
528,check,11,0.3418272218769422
529,reporter,11,0.3418272218769422
530,happen,11,0.3418272218769422
500,able,11,0.3418272218769422
501,town,11,0.3418272218769422
526,native,11,0.3418272218769422
499,friends,11,0.3418272218769422
483,ny,11,0.3418272218769422
498,wednesday,11,0.3418272218769422
471,twitter,11,0.3418272218769422
472,obamas,11,0.3418272218769422
473,military,11,0.3418272218769422
474,policies,11,0.3418272218769422
470,wins,11,0.3418272218769422
476,stand,11,0.3418272218769422
477,potus,11,0.3418272218769422
478,ahead,11,0.3418272218769422
479,tune,11,0.3418272218769422
480,appreciate,11,0.3418272218769422
481,cleveland,11,0.3418272218769422
482,destroy,11,0.3418272218769422
475,less,11,0.3418272218769422
484,life,11,0.3418272218769422
492,lose,11,0.3418272218769422
485,2nd,11,0.3418272218769422
497,build,11,0.3418272218769422
496,house,11,0.3418272218769422
495,small,11,0.3418272218769422
493,happening,11,0.3418272218769422
494,pick,11,0.3418272218769422
491,else,11,0.3418272218769422
490,winner,11,0.3418272218769422
489,shes,11,0.3418272218769422
488,despite,11,0.3418272218769422
487,week,11,0.3418272218769422
486,shot,11,0.3418272218769422
554,face,10,0.3107520198881293
562,presidency,10,0.3107520198881293
555,anymore,10,0.3107520198881293
556,pushing,10,0.3107520198881293
557,funding,10,0.3107520198881293
558,cannot,10,0.3107520198881293
559,pocahontas,10,0.3107520198881293
560,kaine,10,0.3107520198881293
561,rnc,10,0.3107520198881293
569,drop,10,0.3107520198881293
563,golf,10,0.3107520198881293
564,sent,10,0.3107520198881293
565,3,10,0.3107520198881293
566,west,10,0.3107520198881293
567,nh,10,0.3107520198881293
568,piece,10,0.3107520198881293
570,received,10,0.3107520198881293
551,given,10,0.3107520198881293
552,tampa,10,0.3107520198881293
553,refuses,10,0.3107520198881293
550,review,10,0.3107520198881293
540,georgia,10,0.3107520198881293
549,packed,10,0.3107520198881293
531,afternoon,10,0.3107520198881293
532,raised,10,0.3107520198881293
534,instead,10,0.3107520198881293
535,treated,10,0.3107520198881293
536,greatly,10,0.3107520198881293
537,important,10,0.3107520198881293
538,past,10,0.3107520198881293
539,taking,10,0.3107520198881293
533,nights,10,0.3107520198881293
541,victims,10,0.3107520198881293
543,taken,10,0.3107520198881293
544,thoughts,10,0.3107520198881293
545,super,10,0.3107520198881293
546,funny,10,0.3107520198881293
547,post,10,0.3107520198881293
548,visit,10,0.3107520198881293
542,disgusting,10,0.3107520198881293
616,islamic,9,0.27967681789931637
623,exciting,9,0.27967681789931637
622,eric,9,0.27967681789931637
621,written,9,0.27967681789931637
